Ref,Val,Package,PosX,PosY,Rot,Side
"C2","100nF","C_0805_2012Metric",149.606000,-121.920000,90.000000,top
"C4","1uF","C_0805_2012Metric",157.800000,-117.856000,0.000000,top
"D1","1N5819","D_SMA",185.025000,-115.350000,90.000000,top
"D2","1N5819","D_SMA",178.784000,-109.175000,0.000000,top
"D3","1N5819","D_SMA",155.550000,-108.890000,90.000000,top
"D4","1N5819","D_SMA",110.204000,-103.124000,0.000000,top
"L1","33uH","L_12x12mm_Flexible_H8mm",165.430000,-109.980000,90.000000,top
"Q1","S8050","SOT-23",123.190000,-110.998000,180.000000,top
"Q2","S8050","SOT-23",123.190000,-106.426000,180.000000,top
"Q3","AO3401A","SOT-23",116.332000,-106.426000,180.000000,top
"R1","10k","R_0805_2012Metric",126.746000,-110.998000,90.000000,top
"R2","10k","R_0805_2012Metric",126.746000,-106.426000,90.000000,top
"R3","10k","R_0805_2012Metric",119.634000,-106.322500,90.000000,top
"R4","4k7","R_0805_2012Metric",154.027500,-117.856000,0.000000,top
"R5","10k","R_0805_2012Metric",140.970000,-118.748000,0.000000,top
"R6","10k","R_0805_2012Metric",140.970000,-121.034000,0.000000,top
"R7","10k","R_0805_2012Metric",140.970000,-114.176000,180.000000,top
"R8","10k","R_0805_2012Metric",140.970000,-116.462000,180.000000,top
"R9","10k","R_0805_2012Metric",140.990000,-123.330000,0.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",156.030000,-123.290000,180.000000,top
"U3","LM2576S-5","TO-263-5_TabPin3",176.775000,-120.175000,270.000000,top
